Rank,Title,Rating,Image_URL,Episodes,Dates,Members
52,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1164/138058.jpg?s=101a025f33ee0575a6a5a5e500e3d3c6,TV (13 eps),Jul 2023 - Sep 2023,228397
53,86 Part 2,8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1321/117508.jpg?s=c65bc9967a249eb362a1e037e13ebd73,TV (12 eps),Oct 2021 - Mar 2022,467281
54,Mob Psycho 100 III,8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1228/125011.jpg?s=33cd9099a0ad56c9d80989ca0e1cc2ec,TV (12 eps),Oct 2022 - Dec 2022,626894
55,One Piece,8.71,https://cdn.myanimelist.net/r/50x70/images/anime/1244/138851.jpg?s=3a515a0e3bc695b2ea62db2fa26c53b3,TV (? eps),Oct 1999 -,2274361
56,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,https://cdn.myanimelist.net/r/50x70/images/anime/1656/137618.jpg?s=95e513e30f17490549e9608f8f7672e3,OVA (4 eps),Feb 1999 - Sep 1999,273403
57,Code Geass: Hangyaku no Lelouch,8.70,https://cdn.myanimelist.net/r/50x70/images/anime/1032/135088.jpg?s=b67496ea440a61c0d7ac14173e0bd6e0,TV (25 eps),Oct 2006 - Jul 2007,2203417
58,Great Teacher Onizuka,8.69,https://cdn.myanimelist.net/r/50x70/images/anime/13/11460.jpg?s=7e890b7e93b7b57c2de4aa90211931bd,TV (43 eps),Jun 1999 - Sep 2000,808416
59,Mushishi Zoku Shou,8.69,https://cdn.myanimelist.net/r/50x70/images/anime/13/58533.jpg?s=ff40f900ea0877725ccde517b126c531,TV (10 eps),Apr 2014 - Jun 2014,294463
60,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.68,https://cdn.myanimelist.net/r/50x70/images/anime/1028/117777.jpg?s=99ecca20cac2345fc956fda60a5e025f,TV (12 eps),Oct 2021 - Dec 2021,863349
61,Odd Taxi,8.68,https://cdn.myanimelist.net/r/50x70/images/anime/1981/113348.jpg?s=38082dbb5a64de5fc2129a59c46c3fe0,TV (13 eps),Apr 2021 - Jun 2021,412278
62,Shiguang Dailiren,8.68,https://cdn.myanimelist.net/r/50x70/images/anime/1135/114867.jpg?s=048f06f7edb150d017394574a108c72c,ONA (11 eps),Apr 2021 - Jul 2021,340037
63,Mononoke Hime,8.67,https://cdn.myanimelist.net/r/50x70/images/anime/7/75919.jpg?s=0d877ed9aa60cc49fdb128a2f68386e2,Movie (1 eps),Jul 1997 - Jul 1997,1223996
64,Violet Evergarden,8.67,https://cdn.myanimelist.net/r/50x70/images/anime/1795/95088.jpg?s=9e24a139603a4e0ea8ea055a230b54d5,TV (13 eps),Jan 2018 - Apr 2018,1730505
65,Bungou Stray Dogs 5th Season,8.67,https://cdn.myanimelist.net/r/50x70/images/anime/1161/136691.jpg?s=7ede85a9ff76ae61cacf9b3320ccc512,TV (11 eps),Jul 2023 - Sep 2023,148976
66,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.67,https://cdn.myanimelist.net/r/50x70/images/anime/1142/112957.jpg?s=f0984cb6fcb8188ce26035b0b56de828,Movie (1 eps),Aug 2020 - Aug 2020,338748
67,Hajime no Ippo: New Challenger,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/8/56617.jpg?s=4c8a3a8180c114c3771eb183e5318a0e,TV (26 eps),Jan 2009 - Jul 2009,277834
68,Howl no Ugoku Shiro,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/1470/138723.jpg?s=d13efbbaed502aeb220700a4015f287a,Movie (1 eps),Nov 2004 - Nov 2004,1297269
69,Mushishi,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/2/73862.jpg?s=d976f75f480430a0c9fde4455696131d,TV (26 eps),Oct 2005 - Jun 2006,812248
70,Made in Abyss,8.65,https://cdn.myanimelist.net/r/50x70/images/anime/6/86733.jpg?s=56ac623880ec87f3a0197e0391bc12c3,TV (13 eps),Jul 2017 - Sep 2017,1339769
71,Made in Abyss: Retsujitsu no Ougonkyou,8.65,https://cdn.myanimelist.net/r/50x70/images/anime/1864/122519.jpg?s=17612a9ecb307994db4ced0a85774a37,TV (12 eps),Jul 2022 - Sep 2022,416491
72,Shigatsu wa Kimi no Uso,8.65,https://cdn.myanimelist.net/r/50x70/images/anime/3/67177.jpg?s=bc267f764bffe825e1e8d60f7185a2e9,TV (22 eps),Oct 2014 - Mar 2015,2162393
73,Natsume Yuujinchou Shi,8.64,https://cdn.myanimelist.net/r/50x70/images/anime/3/37449.jpg?s=2bb045b3120e6a3a23257bb39689ae30,TV (13 eps),Jan 2012 - Mar 2012,241153
74,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64,https://cdn.myanimelist.net/r/50x70/images/anime/1764/106659.jpg?s=aab19d0f19e345e223dc26542ac3a28f,TV (12 eps),Apr 2020 - Jun 2020,1301892
75,Haikyuu!! Second Season,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/9/76662.jpg?s=06ccfffc7b27ac5532d268b9934a224a,TV (25 eps),Oct 2015 - Mar 2016,1395421
76,Pluto,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/1021/138568.jpg?s=dfebe3f666e87d800b70e46d8fd87c44,ONA (8 eps),Oct 2023 - Oct 2023,94868
77,Tengen Toppa Gurren Lagann,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/4/5123.jpg?s=15bb64e0c8b13acfa5d0761308b66f59,TV (27 eps),Apr 2007 - Sep 2007,1580980
78,Death Note,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1079/138100.jpg?s=3e4bd9dab3fbb90bff74e3240e281d23,TV (37 eps),Oct 2006 - Jun 2007,3809634
79,Jujutsu Kaisen,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1171/109222.jpg?s=f5508bab9e7d610a28f12d1828a6ee79,TV (24 eps),Oct 2020 - Mar 2021,2398673
80,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1502/110723.jpg?s=371a6b383817649bb1d3468f03522f66,Movie (1 eps),Jan 2020 - Jan 2020,444429
81,Natsume Yuujinchou Roku,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/6/84416.jpg?s=931f8a6bfc42adf9257eeb7641bad75e,TV (11 eps),Apr 2017 - Jun 2017,182318
82,Ping Pong the Animation,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/10/58041.jpg?s=fbfd98389b5a6f1a27979446e3f07abe,TV (11 eps),Apr 2014 - Jun 2014,384745
83,Shingeki no Kyojin Season 3,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1173/92110.jpg?s=410d006fea0608544e9861a6f261c692,TV (12 eps),Jul 2018 - Oct 2018,2292837
84,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/1704/106947.jpg?s=685b7fa652f5b3df29bd20fc2c8cb32e,Movie (1 eps),Oct 2020 - Oct 2020,1475959
85,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/1613/102179.jpg?s=9b762a892eac987081bada93be8d3bdc,Movie (1 eps),Jun 2019 - Jun 2019,688904
86,Shin Evangelion Movie: ||,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/1422/113533.jpg?s=1e4f4aa0e597b1c1f082779ab9baa2fc,Movie (1 eps),Mar 2021 - Mar 2021,363106
87,Suzumiya Haruhi no Shoushitsu,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/1248/112352.jpg?s=e62fda44bb62e1b938570096c39f9d05,Movie (1 eps),Feb 2010 - Feb 2010,600318
88,Cyberpunk: Edgerunners,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/1818/126435.jpg?s=7b294f04000f9e4b59fdae558b4b4936,ONA (10 eps),Sep 2022 - Sep 2022,673083
89,Hajime no Ippo: Rising,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/6/56147.jpg?s=7e50339d044aed8909d36bb9afa331d3,TV (25 eps),Oct 2013 - Mar 2014,251817
90,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.59,https://cdn.myanimelist.net/r/50x70/images/anime/1233/128920.jpg?s=1edd57926f956b98645fb547a428c5af,ONA (14 eps),Dec 2022 - Dec 2022,178914
91,Mushishi Zoku Shou: Suzu no Shizuku,8.59,https://cdn.myanimelist.net/r/50x70/images/anime/9/72689.jpg?s=58cb067cc48352b42e376589c0b4dfcc,Movie (1 eps),May 2015 - May 2015,126058
92,Kenpuu Denki Berserk,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/1384/119988.jpg?s=9260c7baa7b55d81d9f6375b55a803e6,TV (25 eps),Oct 1997 - Apr 1998,635504
93,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/1572/95010.jpg?s=88db8e76960fce4e7aaa69f71cfbb4cb,TV (39 eps),Oct 2018 - Jul 2019,992752
94,Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1622/139331.jpg?s=b37e79734ae567dc92e4818194caf373,TV (12 eps),Oct 2023 -,242629
95,Kizumonogatari II: Nekketsu-hen,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1981/112812.jpg?s=be1337b450cee892a1083242c5e526c2,Movie (1 eps),Aug 2016 - Aug 2016,435345
96,Natsume Yuujinchou Go,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/11/81755.jpg?s=54d7dafe4652b04b40d97d5d6d97d18d,TV (11 eps),Oct 2016 - Dec 2016,181976
97,Natsume Yuujinchou San,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/8/82394.jpg?s=f3bc38aa1e6c10580687828856d8dc28,TV (13 eps),Jul 2011 - Sep 2011,248497
98,Ookami Kodomo no Ame to Yuki,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/9/35721.jpg?s=3cb7f7062c2ef1c69ab18d7e3c04af2b,Movie (1 eps),Jul 2012 - Jul 2012,799678
99,Shouwa Genroku Rakugo Shinjuu,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1354/124768.jpg?s=43c2faea5a0fef34fb80dfd028ec808e,TV (13 eps),Jan 2016 - Apr 2016,286826
100,Spy x Family,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1441/122795.jpg?s=ba5838dcfffe4a5cd4988e09d8436c79,TV (12 eps),Apr 2022 - Jun 2022,1456971
101,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/12/19698.jpg?s=1be69978bb463a9b8284565cbf1bfb2f,Movie (1 eps),Apr 2009 - Apr 2009,211797
102,Yojouhan Shinwa Taikei,8.56,https://cdn.myanimelist.net/r/50x70/images/anime/1633/123689.jpg?s=6d15cd9c92692a0972c789132792888c,TV (11 eps),Apr 2010 - Jul 2010,441087
103,Slam Dunk,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/12/86890.jpg?s=bfc7954502569ff5c4d3533dcde8230f,TV (101 eps),Oct 1993 - Mar 1996,292871
104,Fate/Zero 2nd Season,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1522/117645.jpg?s=e54dcf99dc0874bc5b228ebe8496c857,TV (12 eps),Apr 2012 - Jun 2012,1098033
105,Fruits Basket 2nd Season,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1972/111635.jpg?s=9f6f5fa524e70efe80167f14f18b9163,TV (25 eps),Apr 2020 - Sep 2020,491699
106,Haikyuu!! To the Top Part 2,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1453/106768.jpg?s=08662a9ed32a8637dbdfa92f67949078,TV (12 eps),Oct 2020 - Dec 2020,786034
107,Kimi no Suizou wo Tabetai,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1768/93291.jpg?s=9511a058515d30808733fff309b97756,Movie (1 eps),Sep 2018 - Sep 2018,932812
108,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1404/98182.jpg?s=890ec3587370861a797eb6b38b2ef21a,Movie (1 eps),Jul 1997 - Jul 1997,909681
109,Shoujo☆Kageki Revue Starlight Movie,8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1655/114440.jpg?s=ab83f4bf2fe34fb7e5b3f677456f6874,Movie (1 eps),Jun 2021 - Jun 2021,17997
110,Nana,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/2/11232.jpg?s=fdcbc61fd7e6407fe3810192a1684acd,TV (47 eps),Apr 2006 - Mar 2007,643293
111,Perfect Blue,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1254/134212.jpg?s=7dfea9c50cf4f2f36f8dc71fdd55d943,Movie (1 eps),Feb 1998 - Feb 1998,684487
112,Shingeki no Kyojin,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/10/47347.jpg?s=29949c6e892df123f0b0563e836d3d98,TV (25 eps),Apr 2013 - Sep 2013,3847652
113,Zoku Natsume Yuujinchou,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/4/79738.jpg?s=dbd5bb99becb12fa6d689196afefa1ff,TV (13 eps),Jan 2009 - Mar 2009,244374
114,Chainsaw Man,8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1806/126216.jpg?s=8e4d9184579f166e9adff4987b274192,TV (12 eps),Oct 2022 - Dec 2022,1403399
115,Bakuman. 3rd Season,8.53,https://cdn.myanimelist.net/r/50x70/images/anime/6/41845.jpg?s=3e8c09dddfce41e17d602c0cd81875e1,TV (25 eps),Oct 2012 - Mar 2013,325974
116,Mushishi: Hihamukage,8.53,https://cdn.myanimelist.net/r/50x70/images/anime/10/59315.jpg?s=a45594e7790d4a09b63722ca901cff1c,Special (1 eps),Jan 2014 - Jan 2014,136689
117,Ousama Ranking,8.53,https://cdn.myanimelist.net/r/50x70/images/anime/1347/117616.jpg?s=1fc7d9cfcad3dfca1cee2e11b5b74ef4,TV (23 eps),Oct 2021 - Mar 2022,612529
118,Steins;Gate 0,8.53,https://cdn.myanimelist.net/r/50x70/images/anime/1375/93521.jpg?s=d4b7e6cbc3f675048b0f1e33adefe445,TV (23 eps),Apr 2018 - Sep 2018,851878
119,Yuru Camp△ Season 2,8.53,https://cdn.myanimelist.net/r/50x70/images/anime/1255/110636.jpg?s=2b6005aafc62e746b64d224e60a5a8b4,TV (13 eps),Jan 2021 - Apr 2021,214236
120,Sora yori mo Tooi Basho,8.52,https://cdn.myanimelist.net/r/50x70/images/anime/6/89879.jpg?s=273f1505d409ac20eed3e0c255a2f903,TV (13 eps),Jan 2018 - Mar 2018,492001
121,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,https://cdn.myanimelist.net/r/50x70/images/anime/4/28803.jpg?s=1a07403e7ad052636b75f341dc5d2b73,Movie (1 eps),Apr 2010 - Apr 2010,161150
122,Gintama.: Porori-hen,8.52,https://cdn.myanimelist.net/r/50x70/images/anime/11/88325.jpg?s=01d05bdfad24f28a33faa4c5177eb02f,TV (13 eps),Oct 2017 - Dec 2017,197067
123,Kara no Kyoukai Movie 5: Mujun Rasen,8.52,https://cdn.myanimelist.net/r/50x70/images/anime/1574/112838.jpg?s=58d26fa18ddfe934b6795cf787d418b9,Movie (1 eps),Aug 2008 - Aug 2008,235224
124,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,https://cdn.myanimelist.net/r/50x70/images/anime/1646/135390.jpg?s=7e946d0e4d47a6784da3336c4977b6d5,TV (26 eps),Jan 2004 - Jan 2005,224279
125,Samurai Champloo,8.51,https://cdn.myanimelist.net/r/50x70/images/anime/1375/121599.jpg?s=690d61d9517bcc79a007c21f1e9b58e8,TV (26 eps),May 2004 - Mar 2005,1214720
126,Shingeki no Kyojin Season 2,8.51,https://cdn.myanimelist.net/r/50x70/images/anime/4/84177.jpg?s=74f2f396ab23eee08691546aaa2c6fad,TV (12 eps),Apr 2017 - Jun 2017,2646545
127,Hotaru no Haka,8.51,https://cdn.myanimelist.net/r/50x70/images/anime/7/75808.jpg?s=ced3a39f507fbd93b4f63edd9d1650b8,Movie (1 eps),Apr 1988 - Apr 1988,657953
128,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,https://cdn.myanimelist.net/r/50x70/images/anime/3/79156.jpg?s=9189ddeb4a702d774b985fe16f315a81,TV (39 eps),Apr 2016 - Dec 2016,1091597
129,Yakusoku no Neverland,8.50,https://cdn.myanimelist.net/r/50x70/images/anime/1830/118780.jpg?s=4e8a1b5b13b15d3c9172d53e3aad887b,TV (12 eps),Jan 2019 - Mar 2019,1919057
